,tripduration,starttime,stoptime,startid,startname,endid,endname
9797,1397,9/27/2017 7:07,9/27/2017 7:30,3255,8 Ave & W 31 St,309,Murray St & West St
9798,313,9/27/2017 7:07,9/27/2017 7:12,3255,8 Ave & W 31 St,529,W 42 St & 8 Ave
9799,459,9/27/2017 7:07,9/27/2017 7:15,3255,8 Ave & W 31 St,495,W 47 St & 10 Ave
9800,220,9/27/2017 7:08,9/27/2017 7:11,3255,8 Ave & W 31 St,529,W 42 St & 8 Ave
9801,649,9/27/2017 7:08,9/27/2017 7:19,3255,8 Ave & W 31 St,359,E 47 St & Park Ave
9802,908,9/27/2017 7:08,9/27/2017 7:23,3255,8 Ave & W 31 St,545,E 23 St & 1 Ave
9803,1331,9/27/2017 7:08,9/27/2017 7:30,3255,8 Ave & W 31 St,426,West St & Chambers St
9804,989,9/27/2017 7:08,9/27/2017 7:25,3255,8 Ave & W 31 St,328,Watts St & Greenwich St
9805,408,9/27/2017 7:09,9/27/2017 7:16,3255,8 Ave & W 31 St,434,9 Ave & W 18 St
9806,847,9/27/2017 7:10,9/27/2017 7:24,3255,8 Ave & W 31 St,3443,W 52 St & 6 Ave
9807,289,9/27/2017 7:10,9/27/2017 7:15,3255,8 Ave & W 31 St,2021,W 45 St & 8 Ave
9808,309,9/27/2017 7:10,9/27/2017 7:15,3255,8 Ave & W 31 St,3258,W 27 St & 10 Ave
9809,1030,9/27/2017 7:10,9/27/2017 7:28,3255,8 Ave & W 31 St,3474,6 Ave & Spring St
9810,893,9/27/2017 7:10,9/27/2017 7:25,3255,8 Ave & W 31 St,309,Murray St & West St
9811,826,9/27/2017 7:11,9/27/2017 7:25,3255,8 Ave & W 31 St,3459,E 53 St & 3 Ave
9812,1369,9/27/2017 7:11,9/27/2017 7:34,3255,8 Ave & W 31 St,3162,W 78 St & Broadway
9813,753,9/27/2017 7:12,9/27/2017 7:24,3255,8 Ave & W 31 St,72,W 52 St & 11 Ave
9814,1316,9/27/2017 7:14,9/27/2017 7:35,3255,8 Ave & W 31 St,152,Warren St & Church St
9815,378,9/27/2017 7:14,9/27/2017 7:21,3255,8 Ave & W 31 St,458,11 Ave & W 27 St
9816,1865,9/27/2017 7:15,9/27/2017 7:46,3255,8 Ave & W 31 St,337,Old Slip & Front St
9817,638,9/27/2017 7:15,9/27/2017 7:26,3255,8 Ave & W 31 St,520,W 52 St & 5 Ave
9818,773,9/27/2017 7:16,9/27/2017 7:28,3255,8 Ave & W 31 St,517,Pershing Square South
9819,693,9/27/2017 7:16,9/27/2017 7:27,3255,8 Ave & W 31 St,3458,W 55 St & 6 Ave
9820,527,9/27/2017 7:16,9/27/2017 7:25,3255,8 Ave & W 31 St,402,Broadway & E 22 St
9821,476,9/27/2017 7:16,9/27/2017 7:24,3255,8 Ave & W 31 St,479,9 Ave & W 45 St
9822,343,9/27/2017 7:17,9/27/2017 7:23,3255,8 Ave & W 31 St,459,W 20 St & 11 Ave
9823,476,9/27/2017 7:17,9/27/2017 7:25,3255,8 Ave & W 31 St,491,E 24 St & Park Ave S
9824,141,9/27/2017 7:18,9/27/2017 7:20,3255,8 Ave & W 31 St,523,W 38 St & 8 Ave
9825,1440,9/27/2017 7:18,9/27/2017 7:42,3255,8 Ave & W 31 St,417,Barclay St & Church St
9826,859,9/27/2017 7:18,9/27/2017 7:33,3255,8 Ave & W 31 St,3458,W 55 St & 6 Ave
9827,1852,9/27/2017 7:19,9/27/2017 7:49,3255,8 Ave & W 31 St,3141,1 Ave & E 68 St
9828,754,9/27/2017 7:19,9/27/2017 7:31,3255,8 Ave & W 31 St,3463,E 16 St & Irving Pl
9829,1730,9/27/2017 7:21,9/27/2017 7:50,3255,8 Ave & W 31 St,2022,E 60 St & York Ave
9830,875,9/27/2017 7:21,9/27/2017 7:36,3255,8 Ave & W 31 St,328,Watts St & Greenwich St
9831,715,9/27/2017 7:22,9/27/2017 7:34,3255,8 Ave & W 31 St,347,Greenwich St & W Houston St
9832,1239,9/27/2017 7:22,9/27/2017 7:43,3255,8 Ave & W 31 St,309,Murray St & West St
9833,1028,9/27/2017 7:29,9/27/2017 7:46,3255,8 Ave & W 31 St,522,E 51 St & Lexington Ave
9834,568,9/27/2017 7:33,9/27/2017 7:42,3255,8 Ave & W 31 St,173,Broadway & W 49 St
9835,1004,9/27/2017 7:35,9/27/2017 7:52,3255,8 Ave & W 31 St,305,E 58 St & 3 Ave
9836,763,9/27/2017 7:39,9/27/2017 7:52,3255,8 Ave & W 31 St,545,E 23 St & 1 Ave
